datetime,rmssd,coverage,hf,lf,lf_hf_ratio
2025-12-29 06:35:00,30.62,0.855,220.314,1790.652,
2025-12-29 06:40:00,38.204,0.829,177.023,620.189,
2025-12-29 06:45:00,30.734,0.915,165.215,844.248,
2025-12-29 06:50:00,35.252,0.845,184.81,484.63,
2025-12-29 07:10:00,27.923,0.891,326.339,1990.377,
2025-12-29 07:15:00,26.902,0.889,113.736,528.367,
2025-12-29 07:20:00,27.48,0.925,117.804,567.784,
2025-12-29 07:30:00,27.338,0.9,131.543,493.183,
2025-12-29 07:35:00,36.506,0.946,309.848,350.579,
2025-12-29 07:40:00,22.895,0.849,104.875,636.587,
2025-12-29 07:45:00,24.975,1.001,145.729,284.534,
2025-12-29 07:50:00,27.344,0.751,211.293,543.668,
2025-12-29 07:55:00,51.048,0.769,329.118,1136.676,
2025-12-29 08:00:00,24.818,0.942,131.5,526.641,
2025-12-29 08:05:00,22.169,0.886,82.102,1512.612,
2025-12-29 08:10:00,36.695,0.745,245.788,847.267,
2025-12-29 22:15:00,40.97,0.942,340.785,250.581,
2025-12-29 22:20:00,22.449,0.848,51.615,799.795,
2025-12-29 22:25:00,22.539,0.923,59.58,642.093,
2025-12-29 22:30:00,25.898,0.913,103.674,113.805,
2025-12-29 22:35:00,29.238,0.935,142.03,157.692,
2025-12-29 22:40:00,28.098,1.004,163.734,232.756,
2025-12-29 22:45:00,27.919,0.982,130.204,222.07,
2025-12-29 22:50:00,29.711,0.978,135.768,307.227,
2025-12-29 22:55:00,26.513,1.003,115.082,91.047,
2025-12-29 23:00:00,27.956,1.004,125.791,179.078,
2025-12-29 23:05:00,28.561,1.003,125.183,152.728,
2025-12-29 23:10:00,27.45,1.003,138.421,154.895,
2025-12-29 23:15:00,25.088,1.004,104.172,160.738,
2025-12-29 23:20:00,29.001,1.003,123.82,135.89,
2025-12-29 23:25:00,28.679,0.921,168.847,798.916,
2025-12-29 23:30:00,24.508,0.997,72.502,510.061,
2025-12-29 23:35:00,27.454,0.974,127.774,868.001,
2025-12-29 23:40:00,27.558,0.99,88.709,561.286,
2025-12-29 23:45:00,34.521,0.984,134.32,978.174,
2025-12-29 23:50:00,36.311,1.006,166.919,637.874,
2025-12-29 23:55:00,31.054,0.987,174.196,1224.598,
2025-12-30 00:00:00,32.583,0.966,134.244,168.314,
2025-12-30 00:05:00,36.267,1.005,167.585,260.59,
2025-12-30 00:10:00,39.112,1.002,205.498,159.389,
2025-12-30 00:15:00,36.058,0.985,190.72,169.079,
2025-12-30 00:20:00,39.175,0.978,179.967,397.855,
2025-12-30 00:25:00,46.881,0.978,329.845,625.211,
2025-12-30 00:30:00,43.278,0.916,228.458,374.287,
2025-12-30 00:35:00,43.583,0.993,300.092,752.465,
2025-12-30 00:40:00,37.234,1.006,160.254,373.577,
2025-12-30 00:45:00,37.037,1.006,184.824,155.018,
2025-12-30 00:50:00,34.638,1.004,155.555,139.404,
2025-12-30 00:55:00,38.34,1.004,226.076,300.135,
2025-12-30 01:00:00,34.474,0.994,145.527,213.686,
2025-12-30 01:05:00,40.591,0.961,240.506,209.471,
2025-12-30 01:10:00,47.677,0.983,303.391,487.911,
2025-12-30 01:15:00,49.334,1.007,339.436,1444.545,
2025-12-30 01:20:00,55.492,0.971,378.755,934.006,
2025-12-30 01:25:00,48.301,1.007,245.235,1132.738,
2025-12-30 01:30:00,34.31,0.961,119.667,658.735,
2025-12-30 01:35:00,47.571,0.973,198.57,699.944,
2025-12-30 01:40:00,41.292,0.919,237.962,731.848,
2025-12-30 01:45:00,33.691,0.991,134.248,597.183,
2025-12-30 01:50:00,37.231,0.951,169.415,893.289,
2025-12-30 01:55:00,48.241,0.999,435.233,445.051,
2025-12-30 02:00:00,44.768,1.006,344.918,351.938,
2025-12-30 02:05:00,45.306,1.002,346.524,185.772,
2025-12-30 02:10:00,42.353,1.007,302.469,256.636,
2025-12-30 02:15:00,45.45,0.988,285.045,484.689,
2025-12-30 02:20:00,47.192,1.008,316.855,317.092,
2025-12-30 02:25:00,46.37,1.002,308.247,1459.691,
2025-12-30 02:30:00,50.652,0.856,387.251,218.054,
2025-12-30 03:00:00,39.661,1.004,164.722,292.642,
2025-12-30 03:05:00,42.252,1.005,192.645,418.325,
2025-12-30 03:10:00,32.49,0.991,144.483,500.403,
2025-12-30 03:15:00,37.15,0.898,158.054,366.392,
2025-12-30 03:20:00,34.429,1.003,217.251,312.611,
2025-12-30 03:25:00,44.883,0.997,222.825,916.954,
2025-12-30 03:30:00,30.147,0.99,174.713,1828.542,
2025-12-30 03:35:00,46.721,0.932,216.561,129.305,
2025-12-30 03:40:00,42.543,0.977,197.132,581.957,
2025-12-30 03:45:00,48.211,0.92,214.313,655.193,
2025-12-30 03:50:00,43.714,0.976,270.809,1377.14,
2025-12-30 03:55:00,33.388,0.977,81.398,1469.206,
2025-12-30 04:00:00,36.226,0.843,126.708,916.693,
