logId,dateOfSleep,dateTime,level,seconds,isShort
8030723698774219112,2025-12-10,2025-12-10 03:03:00,wake,120,True
8030723698774219112,2025-12-10,2025-12-10 03:14:00,rem,60,False
8030723698774219112,2025-12-10,2025-12-10 03:15:00,light,30,False
8030723698774219112,2025-12-10,2025-12-10 03:15:30,rem,30,False
8030723698774219112,2025-12-10,2025-12-10 03:16:00,light,30,False
8030723698774219112,2025-12-10,2025-12-10 03:16:30,rem,2250,False
8030723698774219112,2025-12-10,2025-12-10 03:25:00,wake,60,True
8030723698774219112,2025-12-10,2025-12-10 03:29:00,wake,60,True
8030723698774219112,2025-12-10,2025-12-10 03:30:30,wake,60,True
8030723698774219112,2025-12-10,2025-12-10 03:38:00,wake,60,True
8030723698774219112,2025-12-10,2025-12-10 03:54:00,light,30,False
8030723698774219112,2025-12-10,2025-12-10 03:54:30,rem,60,False
8030723698774219112,2025-12-10,2025-12-10 03:55:00,wake,30,True
8030723698774219112,2025-12-10,2025-12-10 03:55:30,light,3720,False
8030723698774219112,2025-12-10,2025-12-10 04:07:30,wake,90,True
8030723698774219112,2025-12-10,2025-12-10 04:27:00,wake,60,True
8030723698774219112,2025-12-10,2025-12-10 04:47:30,wake,120,True
8030723698774219112,2025-12-10,2025-12-10 04:57:30,rem,2370,False
8030723698774219112,2025-12-10,2025-12-10 05:03:00,wake,30,True
8030723698774219112,2025-12-10,2025-12-10 05:36:00,wake,30,True
8030723698774219112,2025-12-10,2025-12-10 05:37:00,wake,300,False
8030723698774219112,2025-12-10,2025-12-10 05:42:00,light,2490,False
8030723698774219112,2025-12-10,2025-12-10 06:20:30,wake,150,True
8644759624812163472,2025-12-11,2025-12-10 22:48:30,wake,870,False
8644759624812163472,2025-12-11,2025-12-10 23:03:00,light,990,False
8644759624812163472,2025-12-11,2025-12-10 23:04:30,wake,90,True
8644759624812163472,2025-12-11,2025-12-10 23:19:30,deep,60,False
8644759624812163472,2025-12-11,2025-12-10 23:20:30,light,30,False
8644759624812163472,2025-12-11,2025-12-10 23:21:00,deep,630,False
8644759624812163472,2025-12-11,2025-12-10 23:31:30,light,120,False
8644759624812163472,2025-12-11,2025-12-10 23:33:30,deep,30,False
8644759624812163472,2025-12-11,2025-12-10 23:34:00,light,90,False
8644759624812163472,2025-12-11,2025-12-10 23:35:30,deep,30,False
8644759624812163472,2025-12-11,2025-12-10 23:36:00,light,30,False
8644759624812163472,2025-12-11,2025-12-10 23:36:30,deep,1050,False
8644759624812163472,2025-12-11,2025-12-10 23:54:00,light,1590,False
8644759624812163472,2025-12-11,2025-12-10 23:57:00,wake,30,True
8644759624812163472,2025-12-11,2025-12-11 00:20:30,rem,1980,False
8644759624812163472,2025-12-11,2025-12-11 00:53:30,light,870,False
8644759624812163472,2025-12-11,2025-12-11 01:08:00,deep,90,False
8644759624812163472,2025-12-11,2025-12-11 01:09:30,light,30,False
8644759624812163472,2025-12-11,2025-12-11 01:10:00,deep,30,False
8644759624812163472,2025-12-11,2025-12-11 01:10:30,light,60,False
8644759624812163472,2025-12-11,2025-12-11 01:11:30,deep,60,False
8644759624812163472,2025-12-11,2025-12-11 01:12:30,light,30,False
8644759624812163472,2025-12-11,2025-12-11 01:13:00,deep,30,False
8644759624812163472,2025-12-11,2025-12-11 01:13:30,light,720,False
8644759624812163472,2025-12-11,2025-12-11 01:16:30,wake,30,True
8644759624812163472,2025-12-11,2025-12-11 01:25:30,deep,150,False
8644759624812163472,2025-12-11,2025-12-11 01:28:00,light,30,False
8644759624812163472,2025-12-11,2025-12-11 01:28:30,deep,1260,False
8644759624812163472,2025-12-11,2025-12-11 01:47:30,wake,120,True
8644759624812163472,2025-12-11,2025-12-11 01:49:30,light,2280,False
8644759624812163472,2025-12-11,2025-12-11 01:58:00,wake,120,True
8644759624812163472,2025-12-11,2025-12-11 02:22:00,wake,30,True
8644759624812163472,2025-12-11,2025-12-11 02:25:00,wake,120,True
8644759624812163472,2025-12-11,2025-12-11 02:27:30,wake,510,False
8644759624812163472,2025-12-11,2025-12-11 02:36:00,light,540,False
8644759624812163472,2025-12-11,2025-12-11 02:45:00,wake,330,False
8644759624812163472,2025-12-11,2025-12-11 02:50:30,light,690,False
8644759624812163472,2025-12-11,2025-12-11 03:00:30,wake,60,True
8644759624812163472,2025-12-11,2025-12-11 03:02:00,wake,720,False
8644759624812163472,2025-12-11,2025-12-11 03:14:00,light,2550,False
8644759624812163472,2025-12-11,2025-12-11 03:44:00,wake,90,True
8644759624812163472,2025-12-11,2025-12-11 03:56:30,rem,2400,False
8644759624812163472,2025-12-11,2025-12-11 04:36:30,light,60,False
8644759624812163472,2025-12-11,2025-12-11 04:37:30,rem,30,False
8644759624812163472,2025-12-11,2025-12-11 04:38:00,light,4500,False
8644759624812163472,2025-12-11,2025-12-11 04:40:30,wake,30,True
8644759624812163472,2025-12-11,2025-12-11 04:45:00,wake,60,True
8644759624812163472,2025-12-11,2025-12-11 04:48:30,wake,120,True
8644759624812163472,2025-12-11,2025-12-11 04:51:00,wake,30,True
8644759624812163472,2025-12-11,2025-12-11 05:02:30,wake,150,True
8644759624812163472,2025-12-11,2025-12-11 05:42:00,wake,60,True
8644759624812163472,2025-12-11,2025-12-11 05:53:00,rem,30,False
8644759624812163472,2025-12-11,2025-12-11 05:53:30,light,30,False
8644759624812163472,2025-12-11,2025-12-11 05:54:00,rem,60,False
8644759624812163472,2025-12-11,2025-12-11 05:55:00,light,360,False
8644759624812163472,2025-12-11,2025-12-11 05:56:30,wake,90,True
8644759624812163472,2025-12-11,2025-12-11 06:01:00,wake,270,False
8644759624812163472,2025-12-11,2025-12-11 06:05:30,rem,30,False
8644759624812163472,2025-12-11,2025-12-11 06:06:00,light,30,False
8644759624812163472,2025-12-11,2025-12-11 06:06:30,rem,750,False
8644759624812163472,2025-12-11,2025-12-11 06:19:00,wake,360,False
1644282495753189376,2025-12-12,2025-12-11 23:28:30,wake,660,False
1644282495753189376,2025-12-12,2025-12-11 23:39:30,light,120,False
1644282495753189376,2025-12-12,2025-12-11 23:41:30,wake,720,False
1644282495753189376,2025-12-12,2025-12-11 23:53:30,light,690,False
1644282495753189376,2025-12-12,2025-12-12 00:05:00,deep,1950,False
1644282495753189376,2025-12-12,2025-12-12 00:37:30,light,510,False
1644282495753189376,2025-12-12,2025-12-12 00:46:00,rem,1020,False
1644282495753189376,2025-12-12,2025-12-12 01:03:00,light,960,False
1644282495753189376,2025-12-12,2025-12-12 01:19:00,deep,540,False
1644282495753189376,2025-12-12,2025-12-12 01:27:00,wake,60,True
1644282495753189376,2025-12-12,2025-12-12 01:28:00,light,840,False
1644282495753189376,2025-12-12,2025-12-12 01:42:00,wake,480,False
1644282495753189376,2025-12-12,2025-12-12 01:50:00,light,1020,False
1644282495753189376,2025-12-12,2025-12-12 02:07:00,deep,30,False
1644282495753189376,2025-12-12,2025-12-12 02:07:30,light,1050,False
1644282495753189376,2025-12-12,2025-12-12 02:08:30,wake,60,True
1644282495753189376,2025-12-12,2025-12-12 02:11:00,wake,150,True
1644282495753189376,2025-12-12,2025-12-12 02:14:00,wake,90,True
1644282495753189376,2025-12-12,2025-12-12 02:16:00,wake,90,True
1644282495753189376,2025-12-12,2025-12-12 02:18:00,wake,30,True
1644282495753189376,2025-12-12,2025-12-12 02:19:30,wake,30,True
1644282495753189376,2025-12-12,2025-12-12 02:25:00,rem,270,False
1644282495753189376,2025-12-12,2025-12-12 02:29:30,light,1440,False
1644282495753189376,2025-12-12,2025-12-12 02:31:00,wake,30,True
1644282495753189376,2025-12-12,2025-12-12 02:33:30,wake,30,True
1644282495753189376,2025-12-12,2025-12-12 02:39:00,wake,90,True
1644282495753189376,2025-12-12,2025-12-12 02:53:30,wake,270,False
1644282495753189376,2025-12-12,2025-12-12 02:58:00,light,2220,False
1644282495753189376,2025-12-12,2025-12-12 03:06:30,wake,30,True
1644282495753189376,2025-12-12,2025-12-12 03:12:30,wake,60,True
1644282495753189376,2025-12-12,2025-12-12 03:21:30,wake,120,True
1644282495753189376,2025-12-12,2025-12-12 03:34:00,wake,30,True
1644282495753189376,2025-12-12,2025-12-12 03:35:00,rem,3480,False
